Title                                                           12.02.2026 11:15
________________________________________________________________________________

Title


Curve Name:
  $D60-TN200-V60-TB60
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        36.7948             30        2.26916
              1              1        36.7944        30.1667        2.26873
              2              2        36.8005        30.3333        2.26841
              3              3        36.8587           30.5        2.26816
              4              4        36.9143        30.6667        2.26794
              5              5        36.9998        30.8333        2.26787
              6              6         37.101             31         2.2679
              7              7        37.2086        31.1667        2.26797
              8              8        37.3331        31.3333        2.26839
              9              9        37.4602           31.5         2.2686
             10             10        37.6016        31.6667        2.26876
             11             11        37.7469        31.8333        2.26889
             12             12        37.8753             32        2.26893
             13             13        38.0375        32.1667        2.26898
             14             14        38.1931        32.3333        2.26901
             15             15        38.3462           32.5        2.26902
             16             16        38.5175        32.6667        2.26895
             17             17         38.664        32.8333        2.26891
             18             18        38.8326             33        2.26887
             19             19        38.9974        33.1667        2.26882
             20             20        39.1647        33.3333        2.26875
             21             21        39.3398           33.5        2.26869
             22             22        39.5084        33.6667        2.26863
             23             23        39.6809        33.8333        2.26856
             24             24        39.8495             34         2.2685
             25             25        40.0245        34.1667        2.26845
             26             26        40.1996        34.3333        2.26843
             27             27        40.3721           34.5        2.26842
             28             28        40.5484        34.6667        2.26847
             29             29        40.7195        34.8333        2.26851
             30             30        40.9089             35        2.26856
             31             31        41.0774        35.1667         2.2686
             32             32        41.2576        35.3333        2.26867
             33             33        41.4313           35.5        2.26871
             34             34        41.6089        35.6667        2.26873
             35             35        41.7682        35.8333        2.26874
             36             36        41.9484             36        2.26869
             37             37        42.1299        36.1667        2.26866
             38             38        42.3061        36.3333        2.26863
             39             39        42.4733           36.5        2.26859
             40             40        42.6482        36.6667        2.26855
             41             41        42.8245        36.8333        2.26853
             42             42        42.9942             37        2.26853
             43             43          43.16        37.1667        2.26853
             44             44        43.3284        37.3333        2.26855
             45             45        43.5137           37.5        2.26855
             46             46         43.686        37.6667        2.26854
             47             47        43.8609        37.8333        2.26853
             48             48        44.0162             38        2.26853
             49             49        44.1989        38.1667        2.26854
             50             50        44.3594        38.3333        2.26854
             51             51        44.5369           38.5        2.26853
             52             52        44.7013        38.6667        2.26853
             53             53        44.8788        38.8333        2.26851
             54             54        45.0406             39        2.26849
